text,created_at,hashtags
"[4:20PM] #EkoBridge #TrafficUpdate #RoadMaintenance #RoadWorks 

Due to maintenance around the Ijora Olopa Intersection of the Eko Bridge inwards Apongbon, Traffic is slow.

Traffic after that is good.

Traffic is also a bit slow Apongbon underneath the bridge inwards the Market https://t.co/33QWPe8a0T",Tue Jan 21 15:32:54 +0000 2025,"['EkoBridge', 'TrafficUpdate', 'RoadMaintenance', 'RoadWorks']"
"[12:50PM] #Apapa #IncidentReport 

A broken down loaded containerized truck with bearing problem on Liverpool Bridge inward Mile 2. The owners are making effort to fix it while our officers are on scene monitoring the situation.

#followLASTMA https://t.co/JUBhaBg8DB",Tue Jan 21 11:52:05 +0000 2025,"['Apapa', 'IncidentReport', 'followLASTMA']"
"[12:40PM] #IkoroduRd #IncidentReport 

A broken down 6-tyre truck with mechanical problem at Owode Elede inward Mile 12, occupying 80% of the road. Tow truck has been contacted for evacuation, while backlog at Owode Onirin. 
Our officers are on scene managing the situation https://t.co/FKv6xn5Hum",Tue Jan 21 11:45:41 +0000 2025,"['IkoroduRd', 'IncidentReport']"
"[10:31AM] #WempcoJunction #IncidentReport 

A broken down truck with mechanical problem at Wempco junction Inwards Coca-Cola occupying 50% of the road. Tow truck has been contacted while our officers are on scene monitoring the situation. https://t.co/WZaopYzc26",Tue Jan 21 09:32:44 +0000 2025,"['WempcoJunction', 'IncidentReport']"
"[10:00AM] #ObaOgunji #IncidentReport 

A broken down IVECO Tipper carrying sand had propeller problem at Oba Ogunji inward Odo Eran. Tow truck has been contacted while our officers are on ground managing the situation effectively.

Please drive with caution on approach. https://t.co/FcIX79JJIo",Tue Jan 21 09:01:05 +0000 2025,"['ObaOgunji', 'IncidentReport']"
"[8:00AM] #IkoroduRd #IncidentReport 

There is a serious accident between HCB LBSL Bus and a mini bus (Korope) at Owode Elede (on BRT corridor). Police officers are on ground while tow vehicle has been contacted for evacuation. Movement is steady Inwards Ketu due to onlookers. https://t.co/ROk21oe1ES",Tue Jan 21 07:07:54 +0000 2025,"['IkoroduRd', 'IncidentReport']"
"[7:50AM] #3MB #IncidentReport 

An accident at Ilaje inward Lagos Island on the Third Mainland Bridge. 

Effort is on to evacuate the vehicle.

Please drive with caution on approach. https://t.co/5KPwCwRuDB",Tue Jan 21 06:59:54 +0000 2025,"['3MB', 'IncidentReport']"
"[7:40AM] #LagosBdgExp #IncidentReport 

A broken down loaded PMS tanker having tyre problem at Alaba Rago on the service lane inward Agbara along Lagos Badagry Expressway.
Tow truck has been contacted for quick evacuation while our officers are on ground managing the situation. https://t.co/Xhqb3CcyNQ",Tue Jan 21 06:43:57 +0000 2025,"['LagosBdgExp', 'IncidentReport']"
"[7:31AM] #IkoroduRd #IncidentReport 

A broken down loaded Tipper having tyre issue at New Garage inward Maryland. Effort is ongoing for its evacuation while our officers are on scene monitoring the situation.

Please drive with caution on approach. https://t.co/iXGvis3XDD",Tue Jan 21 06:33:58 +0000 2025,"['IkoroduRd', 'IncidentReport']"
"[7:13AM] #IkoroduRd #IncidentReport 

A loaded truck ran into the median approaching Majidun bridge inward Ogolonto. Effort is ongoing to move it out of the road while our officers are on scene monitoring the situation effectively.

Please drive with caution always. https://t.co/Nqa5momj8y",Tue Jan 21 06:16:02 +0000 2025,"['IkoroduRd', 'IncidentReport']"
"[6:58AM] #Olopomeji #IncidentReport 

This is an accident that occurred at Olopomeji inward Iyana Oworo involving a Toyota Sienna that entered into a ditch.

Effort is on to evacuate it off the road, while our officers are on scene ensuring movement at the location. https://t.co/NdE35lQ5DR",Tue Jan 21 06:04:03 +0000 2025,"['Olopomeji', 'IncidentReport']"
"[6:51AM] #SecondRainbow #IncidentReport

A broken down flat body Truck at Second Rainbow Inwards Fatgbems occupying 50% of the road. 
Our officers are on scene monitoring the situation while waiting for tow vehicle for evacuation.

Please drive with caution on approach. https://t.co/pW5Hlqx58e",Tue Jan 21 05:52:44 +0000 2025,"['SecondRainbow', 'IncidentReport']"
"[6:41AM] #Badagry #TrafficUpdate 

Vehicular movement from Agbara Custom Check Point through Agbara Estate gate, Morogbo junction, Ajibade, down to Odofa, inward and outward is good at the moment. 
A contraflow movement from Odofa through Church gate, Ibiye, Magbon, enroute Oko https://t.co/fvfnyamdi6",Tue Jan 21 05:42:01 +0000 2025,"['Badagry', 'TrafficUpdate']"
"[10:34PM] #Igando #TrafficUpdate 

Movement around Obadore, Akesan, olorufemi, Afolabi down to Igando Phase1and 2 is good.

Movement along College, NYSC, General Hospital, Oko filling down to Isheri roundabout is good.
Idimu inw Council down to ikotun intersection is good.

Old",Mon Jan 20 21:39:40 +0000 2025,"['Igando', 'TrafficUpdate']"
"[9:20PM] #AirportRd #TrafficUpdate 

Good movement from Oshodi Express inward Apakun and Nacho Airport Road.

Ajao Estate Gate inward Lateef Salami Street connecting Asa Afariogun Street inward Eleganza down to Canoe towards NNPC junction is good.

Aswani junction down to Osolo",Mon Jan 20 20:23:58 +0000 2025,"['AirportRd', 'TrafficUpdate']"
"[8:51PM]¡#PWD #TrafficUpdate 

Good movement from Bolade junction inward Ajayi Farm through National and Ikeja Along flyover.

Good movement from Ajayi Farm inw Ile-zik, Ile-zik connecting Sule junction and Iyana Dopemuvis also good.

Return journey is very good also.",Mon Jan 20 19:54:51 +0000 2025,"['PWD', 'TrafficUpdate']"
"[8:03PM] #Maryland_Ikeja #TrafficUpdate 

Good movememt along Anthony inward Maryland intersection enroute Odo'yalaro and Mobolaji Bank Anthony Way respectively.

Movement within the entire stretch of Oba Akran Road, Kodesoh Road, Local Airport Road, Oba Akinjobi Way enroute",Mon Jan 20 19:06:33 +0000 2025,"['Maryland_Ikeja', 'TrafficUpdate']"
"[7:44PM] #Dopemu #TrafficUpdate 

Cement inw Goye junction towards Iyana ipaja is good, return journey back to Goye junction connecting to Akiwowo junction towards Alaguntan junction is also good.

Agbotikuyo Road down to Swipha connecting to Akowonjo roundabout towards Shasha is",Mon Jan 20 18:51:35 +0000 2025,"['Dopemu', 'TrafficUpdate']"
"[7:19PM] #Agege #TrafficUpdate 

Old Ipaja Road from Total underneath the bridge inward Nitel is good.
Connecting Abbatoir is good.
Old Ipaja Road from Okekoto inward Shofunde, Agbotikuyo is good connecting Olufunlayo down to NYSC is good.
The stretch of Oba Akran from Dangote",Mon Jan 20 18:27:05 +0000 2025,"['Agege', 'TrafficUpdate']"
"[6:52PM] #Alausa_Ikeja #TrafficUpdate 

Awolowo Road from Alausa inw Ikeja is good.

Lateef Jakande from Coca-cola inw Omole junction is good, likewise the return journey.

Aromire from Allen intersection inw Hacco is good, return journey from Hacco inw Allen is also good.",Mon Jan 20 17:57:29 +0000 2025,"['Alausa_Ikeja', 'TrafficUpdate']"
"[6:45PM] #Ikoyi #TrafficUpdate 

Kofo Abayomi inward Bonny Camp is busy due to high influx.

Bonny Camp inward Mcwen Bridge is also building up.

Oficers are on ground doing the needful. 

#FollowLASTMA",Mon Jan 20 17:52:05 +0000 2025,"['Ikoyi', 'TrafficUpdate', 'FollowLASTMA']"
"[6:40PM] #Ojo #TrafficUpdate

Free movement from Agbara Customs Checkpoint down to Iyana Era.
Iyana Isashi is also good.

Good movement from Afromedia down to Franklass on both the service lane and the main carriageway.
Iyana Iba flyover inward Mile2 is good, likewise underneath",Mon Jan 20 17:44:53 +0000 2025,"['Ojo', 'TrafficUpdate']"
"[3:53PM] #Lekki #TrafficUpdate 

Movement is quite smooth from Ikate Gate towards VFS, Itedo Car Wash, down to Dome.
Similarly, good traffic conditions are reported on Admiralty Way, from Dome intersection towards UBA/intersection, continuing along the Lekki/Ikoyi Link Bridge https://t.co/npJmp7UX1m",Mon Jan 20 14:57:53 +0000 2025,"['Lekki', 'TrafficUpdate']"
"[3:48PM] #Imota #Ikorordu #TrafficUpdate 

 Smooth movement is observed from Sabo Roundabout towards Sabo Market Gate, inwards Itamaga. The return journey from Itamaga towards Alaka and back to Sabo Roundabout is also clear.

 Traffic conditions are excellent from Itamaga towards https://t.co/iF2Ay5ivVs",Mon Jan 20 14:51:10 +0000 2025,"['Imota', 'Ikorordu', 'TrafficUpdate']"
"[3:34PM] #Ikorodu #Idiroko #TrafficUpdate 

an ongoing construction activity between Idiroko and Ogolonto is significantly impeding the flow of traffic on the corridor. Our officers are diverting traffic  intermittenly onto the BRT lane to prevent a bottleneck situation in the https://t.co/DhlKOw0hu9",Mon Jan 20 14:41:05 +0000 2025,"['Ikorodu', 'Idiroko', 'TrafficUpdate']"
"[3:30PM] #OkeOdo #TrafficUpdate 

 Ilepo is currently experiencing fast and steady movement, while other areas, including Abule Egba, Charity intersection, Hammadiya, Ijaye, Kola, and Alakuko, are all experiencing good traffic conditions.

 Return journeys are also reported to be https://t.co/BopyLtozo1",Mon Jan 20 14:33:53 +0000 2025,"['OkeOdo', 'TrafficUpdate']"
"[3:23PM] #LekkiEpeExp #BreakdownReport 

An incident involving a broken-down Mack tanker has occurred at Kaiyetoro, inwards Epe. Though, traffic flow is unaffected, earnest effort aimed at evacuation has commenced, while our officers monitor traffic situation around the https://t.co/qCiFBy3I8n",Mon Jan 20 14:27:07 +0000 2025,"['LekkiEpeExp', 'BreakdownReport']"
"[3:13PM] #Ketu #IncidentReport 

A loaded truck has broken down with clutch related problems at the Interchange, inwards Tollgate, from Ojota. 
 Towing truck operator has been contacted while our officers are present there, working to ensure ease of movement for other motorists. https://t.co/sHer3oIrjJ",Mon Jan 20 14:21:23 +0000 2025,"['Ketu', 'IncidentReport']"
"[1:10PM] #LekkiEpeExp #BreakdownReport 

 A broken down Mack truck with bearing challenge is immobile and occupying a portion of the road way around Eleko junction, inwards Ajah. Though, traffic along the corridor is not significantly affected, nonetheless earnest efforts are https://t.co/yF66JVbQEG",Mon Jan 20 12:18:08 +0000 2025,"['LekkiEpeExp', 'BreakdownReport']"
"[10:10AM] LatestUpdate!
#IkoroduRd
#Anthony
#AccidentReport
Off-loading of the goods from the  truck that rammed into the BRT median at Obanikoro inward Anthony is ongoing at the moment.
#FollowLASTMA https://t.co/iFSqUNwr0z",Mon Jan 20 09:16:08 +0000 2025,"['IkoroduRd', 'Anthony', 'AccidentReport', 'FollowLASTMA']"
"[9:33AM] #Ojo
#Olorunshogo
#BreakdownReport

A 40ft containerized truck developed a mechanical fault at Olorunshogo bus stop inward Mile2 .
Effort is ongoing by the owner to fix the fault and move it off the road.

It's having minimal effect on traffic flow.
#FollowLASTMA https://t.co/Wh8ijHnszi",Mon Jan 20 08:37:54 +0000 2025,"['Ojo', 'Olorunshogo', 'BreakdownReport', 'FollowLASTMA']"
"[9:30AM] #LagIbdExpWay
#3MB
 #TrafficUpdate

Traffic is still encouraging from Berger towards Otedola Bridge and Emergency centre, then moves slowly inward Tollgate.
Moving ahead to Alapere and Ogudu is faster but it's also a steafy moving traffic approaching Ogudu enroute Ifako.",Mon Jan 20 08:34:33 +0000 2025,"['LagIbdExpWay', '3MB', 'TrafficUpdate']"
"[8:48AM] #Ipaja
#Abesan
 #BreakdownReport

Traffic moves gradually outward Abesan gate inward Moshalasi on New Ipaja road due to a broken down empty Gas tanker.

Effort is ongoing by the Driver to tow it off the road.
Our officials are also onground to manage the traffic https://t.co/nODIRT7EL2",Mon Jan 20 07:56:31 +0000 2025,"['Ipaja', 'Abesan', 'BreakdownReport']"
"[8:10AM] #Ikeja
#Alausa
#Allen
 #TrafficUpdate

Movement on Obafemi Awolowo way from Radio inward Allen intersection is busy while from Allen intersection down to Ikeja under bridge is good to go.
Ikeja under bridge back to Allen intersection down to Radio junction is good to go. https://t.co/qesRljC0KS",Mon Jan 20 07:15:52 +0000 2025,"['Ikeja', 'Alausa', 'Allen', 'TrafficUpdate']"
"[8:05AM] #IyanaIpaja
 #BreakdownReport

There's a truck with difficulties at Danco bus stop(Iyana Ipaja)  inward Oshodi.
A tow truck is expected to arrive soon for its removal.
#FollowLASTMA https://t.co/UBRDeg4o1m",Mon Jan 20 07:11:24 +0000 2025,"['IyanaIpaja', 'BreakdownReport', 'FollowLASTMA']"
"[7:47AM] #Iganmu
#BreakdownReport

Video of a faulty containerized truck ascending Iganmu bridge inward Costain.

Vehicles are advised to make use of the alternative The driver is trying to do the needful and move it off the location.
#FollowLASTMA https://t.co/ifeejTVgmT",Mon Jan 20 06:53:44 +0000 2025,"['Iganmu', 'BreakdownReport', 'FollowLASTMA']"
"[7:35AM] #Ojo
#IyanaIsashi
#TrafficUpdate

Iyana isashi is very busy due to the early morning rush and activities of the commercial buses.
#FollowLASTMA
@lagostraffic961
@TrafficChiefNG https://t.co/59WE7cPB1Y",Mon Jan 20 06:42:19 +0000 2025,"['Ojo', 'IyanaIsashi', 'TrafficUpdate', 'FollowLASTMA']"
"[7:30AM] #Dopemu
 #TrafficUpdate

Good Vehicular movement from Iyana ipaja, Adealu, Pako, Araromi, Goye intersection and Dopemu underneath the bridge to Cement.

Goye intersection inward Alaguntan Alimosho road, Akiwowo, Cash street connecting Moshalasi inward and outward is https://t.co/8P7IBCnKCp",Mon Jan 20 06:39:06 +0000 2025,"['Dopemu', 'TrafficUpdate']"
"[6:40AM] #Ikeja
#ObaAkran
#BreakdownReport

This video shows a faulty containerized truck beside Ikeja flyover bridge on Oba Akran road inward Ogba/Agege.

Our personnel are firmly onground to monitor the traffic situation while the repair is also ongoing.
#FollowLASTMA https://t.co/SL0pNyF0r9",Mon Jan 20 05:48:28 +0000 2025,"['Ikeja', 'ObaAkran', 'BreakdownReport', 'FollowLASTMA']"
"[6:30AM] #AgegeMotorRd
#TrafficUpdate

Traffic is a bit slow from Iyana Dopemu inward Cement due to the morning influx and also a lone accident that occurred before the Council filling station at Cement, but faster towards Ajayi farm.

Approaching Ajayi farm is also a bit slow https://t.co/6k9C7D6iaJ",Mon Jan 20 05:40:22 +0000 2025,"['AgegeMotorRd', 'TrafficUpdate']"
"[6:23AM] #LagIbdExpWay
#3MB
#TrafficUpdate

It's still an encouraging traffic flow from Berger towards Otedola bridge and Tollgate.
Moving ahead to China town is good but a bit steady at Alapere due to bus stop activities..
Proceeding towards Iyana Oworo is better for now. https://t.co/iZQxxgK9S2",Mon Jan 20 05:35:53 +0000 2025,"['LagIbdExpWay', '3MB', 'TrafficUpdate']"
"[6:02AM] #Apapa
#Ijora
#AccidentReport

A truck laden with Container rolled back while ascending the ramp inward Ijora and had its Container fall on the other side of the bridge, blocking the access outward the bridge.
LASTMA officials and Men of Nigerian Police are on ground to https://t.co/QOF2LraXn5",Mon Jan 20 05:29:36 +0000 2025,"['Apapa', 'Ijora', 'AccidentReport']"
